locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_1675,0.1895327137861732,cobD,Subunit of adenosylcobinamide-phosphate synthase beta component,Coenzyme transport and metabolism,Op1046,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1675&e1=1&assembly=complete
PP_4830,0.1878190756665137,cobL,precorrin-6Y C(5%2C15)-methyltransferase,Coenzyme transport and metabolism,Op3154,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4830&e1=1&assembly=complete
PP_4826,0.1808310351420471,cobJ,Precorrin-3B C17-methyltransferase,Coenzyme transport and metabolism,Op3153,AlgR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4826&e1=1&assembly=complete
PP_3506,0.1758856263639429,PP_3506,Magnesium chelatase%2C subunit ChII,Coenzyme transport and metabolism,Op2269,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3506&e1=1&assembly=complete
PP_3409,0.1657444234780429,PP_3409,putative Cobalamin biosynthesis protein cobE,Coenzyme transport and metabolism,Op2208,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3409&e1=1&assembly=complete
PP_1679,0.1625710440192594,cobU,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,Nucleotide transport and metabolism,Op1046,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1679&e1=1&assembly=complete
PP_1676,0.1612804937747916,cobC,subunit of adenosylcobinamide-phosphate synthase beta component,Amino acid transport and metabolism,Op1046,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1676&e1=1&assembly=complete
PP_4832,0.1451423047109933,cobK,Precorrin-6x reductase,Coenzyme transport and metabolism,Op3154,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4832&e1=1&assembly=complete
PP_4828,0.1432802787045881,cobH,Precorrin-8X methylmutase,Carbohydrate transport and metabolism,Op3153,"GacA,AmrZ",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4828&e1=1&assembly=complete
PP_0542,0.1336209356892527,eutC,ethanolamine ammonia-lyase%2C beta-subunit,Amino acid transport and metabolism,Op348,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0542&e1=1&assembly=complete
PP_0543,0.1168694089802894,eutB,ethanolamine ammonia-lyase%2C alpha-subunit,Amino acid transport and metabolism,Op348,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0543&e1=1&assembly=complete
PP_1349,0.096784411543025,pduO,ATP:cob(I)alamin adenosyltransferase,Function unknown,Op839,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1349&e1=1&assembly=complete
