locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GbdR,link
PP_0309,0.1747843190963307,PP_0309,conserved protein of unknown function,Function unknown,Op216,GbdR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0309&e1=1&assembly=complete
PP_0298,0.1696379516332856,gbdR,AraC-family transcriptional regulator,Transcription,Op205,"GbdR,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0298&e1=1&assembly=complete
PP_0316,0.1672260705528873,gbcB,putative glycine-betaine dioxygenase subunit,Energy production and conversion,Op220,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0316&e1=1&assembly=complete
PP_0315,0.1656994440359134,gbcA,putative glycine-betaine dioxygenase subunit,Inorganic ion transport and metabolism,Op219,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0315&e1=1&assembly=complete
PP_0295,0.1386341465940833,cbcW,choline / betaine / carnitine ABC transporter - membrane subunit,Inorganic ion transport and metabolism,Op202,"GbdR,GlnG",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0295&e1=1&assembly=complete
PP_0294,0.1343144086097112,cbcV,choline / betaine / carnitine ABC transporter - ATP binding subunit,Amino acid transport and metabolism,Op202,"GbdR,GlnG",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0294&e1=1&assembly=complete
PP_5441,0.1307891758308912,PP_5441,protein of unknown function,No COG annotation,Op204,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5441&e1=1&assembly=complete
PP_0303,0.117024360868452,PP_0303,dehydrocarnitine cleavage enzyme,Function unknown,Op209,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0303&e1=1&assembly=complete
PP_0302,0.1099845855900984,lcdH,L-carnitine dehydrogenase,Energy production and conversion,Op208,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0302&e1=1&assembly=complete
PP_0301,0.1067658146149187,PP_0301,betainyl-CoA thiolase,Lipid transport and metabolism,Op208,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0301&e1=1&assembly=complete
PP_0304,0.1009344001283842,caiX,Carnitine uptake ABC transporter%2C periplasmic component,Amino acid transport and metabolism,Op210,CdhR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0304&e1=1&assembly=complete
PP_5155,-0.2095353223943117,serA,D-3-phosphoglycerate dehydrogenase / alpha-ketoglutarate reductase,Energy production and conversion,Op3356,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5155&e1=1&assembly=complete
