locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GltR-II,link
PP_1015,0.0965223872265649,gtsA,mannose/glucose ABC transporter%2C glucose-binding periplasmic protein,Carbohydrate transport and metabolism,Op639,"RoxR,GltR-II,Crc,PhoB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1015&e1=1&assembly=complete
PP_3244,0.0962595319414111,mgtC,Magnesium transporter%2C MgtC family,Function unknown,Op2109,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3244&e1=1&assembly=complete
PP_1016,0.0953680030032792,gtsB,mannose/glucose ABC transporter%2C permease protein,Inorganic ion transport and metabolism,Op640,"AlgR,GltR-II,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1016&e1=1&assembly=complete
PP_1017,0.0947690517455055,gtsC,mannose/glucose ABC transporter%2C permease protein,Inorganic ion transport and metabolism,Op640,"RoxR,GltR-II,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1017&e1=1&assembly=complete
PP_5719,0.092437607577586,betI,choline-responsive transcriptional repressor BetI,Transcription,Op3299,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5719&e1=1&assembly=complete
PP_1426,0.0887897753105973,nadB,L-aspartate oxidase,Coenzyme transport and metabolism,Op899,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1426&e1=1&assembly=complete
PP_5212,0.0869937467937582,PP_5212,Oxidoreductase%2C iron-sulfur-binding,Energy production and conversion,Op3398,CbrB,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5212&e1=1&assembly=complete
PP_2645,-0.0921043720640317,mgtA,magnesium transporter%2C ATP-dependent,Inorganic ion transport and metabolism,Op1729,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2645&e1=1&assembly=complete
PP_2884,-0.0955574363087698,PP_2884,XRE family transcriptional regulator,Transcription,Op1862,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2884&e1=1&assembly=complete
PP_3415,-0.1416117319901824,PP_3415,Transcriptional regulator%2C LacI family,Transcription,Op2212,GnuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3415&e1=1&assembly=complete
